date,ITUB4,LREN3,MGLU3,TTEN3,VALE3,soma,evolucao_patrimonial,evolucao_percentual,evolucao_cum
2022-10-20,-147486.41,0.0,0.0,0.0,0.0,-147486.41,-2256.9400000000023,0.015302698058756751,1.289094404334038
2022-10-21,-152392.81,0.0,0.0,0.0,0.0,-152392.81,-4906.399999999994,0.03219574466800628,1.3305977586289324
2022-10-24,-145474.78999999998,0.0,0.0,0.0,0.0,-145474.78999999998,6918.020000000019,-0.04755476876783957,1.267321489894328
2022-10-25,-144297.255,0.0,0.0,0.0,0.0,-144297.255,1177.5349999999744,-0.008160480946085734,1.2569795370234804
2022-10-26,-141206.225,0.0,0.0,0.0,0.0,-141206.225,3091.029999999999,-0.021890182249401532,1.2294640258742682
2022-10-27,-143806.61,0.0,0.0,0.0,0.0,-143806.61,-2600.38499999998,0.01808251373146186,1.2516958260044782
2022-10-28,-144935.09,0.0,0.0,0.0,0.0,-144935.09,-1128.4800000000105,0.007786106180359846,1.2614416626112623
2022-10-31,-149154.59,0.0,0.0,0.0,0.0,-149154.59,-4219.5,0.028289441176433124,1.2971271423232058
2022-11-01,-149522.685,0.0,0.0,0.0,0.0,-149522.685,-368.09500000000116,0.0024618003615973134,1.3003204103912147
2022-11-03,-148442.75,0.0,0.0,0.0,0.0,-148442.75,1079.9349999999977,-0.007275094270350001,1.2908604568239583
2022-11-04,-148982.72,0.0,0.0,0.0,0.0,-148982.72,-539.9700000000012,0.0036243800623320687,1.295539025726924
2022-11-07,-145595.63,0.0,0.0,0.0,0.0,-145595.63,3387.0899999999965,-0.02326367899915675,1.2654000217015324
2022-11-08,-145153.84,0.0,0.0,0.0,0.0,-145153.84,441.79000000000815,-0.0030435984332209754,1.2615486521780839
2022-11-09,-138183.31,0.0,0.0,0.0,0.0,-138183.31,6970.529999999999,-0.05044408040305301,1.1979109905352494
2022-11-10,-135581.63999999998,0.0,0.0,0.0,0.0,-135581.63999999998,2601.670000000013,-0.019188955082708934,1.1749243303447852
2022-11-11,-131212.785,0.0,0.0,0.0,0.0,-131212.785,4368.854999999981,-0.03329595511595902,1.135804102576977
2022-11-14,-130820.08,0.0,0.0,0.0,0.0,-130820.08,392.70500000000175,-0.0030018709665978016,1.1323945652177085
2022-11-16,-128954.73000000001,0.0,0.0,0.0,0.0,-128954.73000000001,1865.3499999999913,-0.014465153779159487,1.11601430369315
2022-11-17,-129740.14,0.0,0.0,0.0,0.0,-129740.14,-785.4099999999889,0.006053716297824165,1.1227703376720222
2022-11-18,-130770.99,0.0,0.0,0.0,0.0,-130770.99,-1030.8500000000058,0.007882864540522373,1.1316209841540075
2022-11-21,-131163.695,0.0,0.0,0.0,0.0,-131163.695,-392.70500000000175,0.0029940068400787405,1.135009065120941
2022-11-22,-129003.82,0.0,0.0,0.0,0.0,-129003.82,2159.875,-0.01674272126205255,1.1160059247137182
2022-11-23,-127678.435,0.0,0.0,0.0,0.0,-127678.435,1325.3850000000093,-0.0103806488542878,1.1044210590899604
2022-11-24,-132243.645,0.0,0.0,0.0,0.0,-132243.645,-4565.209999999992,0.03452120515885654,1.1425470050525666
2022-11-25,-127580.26,0.0,0.0,0.0,0.0,-127580.26,4663.384999999995,-0.03655255914982455,1.1007839880689276
2022-11-28,-125273.11499999999,0.0,0.0,0.0,0.0,-125273.11499999999,2307.145000000004,-0.01841692050205668,1.0805109368707253
2022-11-29,-126353.055,0.0,0.0,0.0,0.0,-126353.055,-1079.9400000000023,0.008547003473718957,1.0897460676015507
2022-11-30,-127629.345,0.0,0.0,0.0,0.0,-127629.345,-1276.2900000000081,0.009999972968599096,1.1006434988202034
2022-12-01,-127604.79999999999,0.0,0.0,0.0,0.0,-127604.79999999999,24.545000000012806,-0.00019235169836881376,1.1004317881739067
2022-12-02,-129323.87999999999,0.0,0.0,0.0,0.0,-129323.87999999999,-1719.0800000000017,0.013292827279849645,1.1150596378673585
2022-12-05,-125541.90000000001,0.0,0.0,0.0,0.0,-125541.90000000001,3781.9799999999814,-0.030125241054978307,1.0814681974859275
2022-12-06,-128439.78,0.0,0.0,0.0,0.0,-128439.78,-2897.87999999999,0.02256216882339716,1.1058684655347402
2022-12-07,-127506.56,0.0,0.0,0.0,0.0,-127506.56,933.2200000000012,-0.0073189959795009855,1.0977746186816344
2022-12-08,-123036.955,0.0,0.0,0.0,0.0,-123036.955,4469.604999999996,-0.03632733758731266,1.0578953895140033
2022-12-09,-121505.03499999999,0.0,0.0,0.0,0.0,-121505.03499999999,1531.9200000000128,-0.012607872587337742,1.0445575792322788
2022-12-12,-120356.405,0.0,0.0,0.0,0.0,-120356.405,1148.62999999999,-0.0095435718605918,1.0345887689123496
2022-12-13,-115811.83499999999,0.0,0.0,0.0,0.0,-115811.83499999999,4544.570000000007,-0.03924098085484966,0.9939904908388177
2022-12-14,-116311.23999999999,0.0,0.0,0.0,0.0,-116311.23999999999,-499.40499999999884,0.004293695089141848,0.9982583829279861
